,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
88,0.123115764,95.6436,8,1997,0,1,661.8052
6813,0.043809261,146.8418,2,2007,1,1,1765.7016
4046,0.072317217,160.792,5,1985,2,3,3675.216
8194,0.299097859,157.863,4,1985,0,0,469.389
8293,0.080277707,47.2718,6,2004,1,1,850.8924
4563,0.041065647,223.5088,2,2007,1,1,4697.8848
6948,0.02844314,98.141,0,1998,2,0,386.164
4258,0.082483516,179.2002,1,1987,2,1,2865.6032
5371,0.142370445,90.6172,3,2009,2,2,1427.4752
6857,0.042923071,109.8254,1,1987,2,1,1627.881
4055,0.134418705,99.67,5,1985,2,3,2596.62
219,0.0,40.2822,6,2004,1,1,1139.1838
7987,0.045763623,43.8744,5,1985,2,3,1222.4088
195,0.041395445,37.6164,8,1997,0,1,540.6296
5592,0.030816999,230.8352,1,1987,2,1,3435.528
1640,0.051146565,127.3678,3,2009,2,2,3306.3628
2237,0.021811987,163.6184,3,2009,2,2,2311.6576
3977,0.0,253.004,3,2009,2,2,3795.06
7769,0.02678995,58.9246,3,2009,2,2,926.7936
3883,0.175962247,223.0772,6,2004,1,1,1779.0176
4918,0.066935459,177.537,8,1997,0,1,3175.866
8229,0.102633047,180.8292,2,2007,1,1,3466.1548
2213,0.020693809,199.1742,6,2004,1,1,4379.6324
3410,0.021849398,262.091,8,1997,0,1,4207.856
7637,0.070247589,37.5532,8,1997,0,1,1366.2216
5793,0.116673795,161.721,8,1997,0,1,3588.662
5213,0.086619573,147.6076,2,2007,1,1,3251.7672
7923,0.04506213,167.5474,4,1985,0,0,1010.6844
7084,0.054460571,77.0012,2,2007,1,1,2277.036
7466,0.173527068,92.0462,4,1985,0,0,277.6386
6986,0.128532558,34.2216,4,1985,0,0,173.108
5001,0.0,78.296,8,1997,0,1,1438.128
4393,0.005583951,226.9062,1,1987,2,1,4514.124
7184,0.0,74.3012,7,2002,1,1,1669.8264
5176,0.063532672,133.0626,2,2007,1,1,1442.7886
3445,0.076987408,247.946,2,2007,1,1,3202.498
3009,0.036150153,219.5482,5,1985,2,3,5695.2532
608,0.0132043,143.8154,2,2007,1,1,2694.4926
8051,0.030693756,114.2176,3,2009,2,2,2175.8344
3181,0.187523164,146.2418,6,2004,1,1,4414.254
832,0.021170542,117.6124,5,1985,2,3,2251.7356
5850,0.020442889,98.0042,9,1999,0,1,1587.2672
4921,0.098108957,240.9196,3,2009,2,2,4579.3724
5507,0.0,147.2076,0,1998,2,0,739.038
405,0.065652494,48.9034,4,1985,0,0,48.6034
414,0.160663021,59.4562,8,1997,0,1,829.5868
7729,0.066770664,180.5292,6,2004,1,1,2189.1504
2709,0.053439522,55.093,3,2009,2,2,1018.674
5200,0.146999264,103.7648,2,2007,1,1,2804.3496
6244,0.009802791,223.0404,3,2009,2,2,1125.202
2799,0.099893424,187.6898,6,2004,1,1,3928.8858
8465,0.106968577,180.5634,7,2002,1,1,2726.451
3537,0.062885197,106.7254,0,1998,2,0,542.627
4125,0.141792841,89.7172,8,1997,0,1,1159.8236
8356,0.117530851,222.7088,5,1985,2,3,4026.7584
1872,0.023577298,192.6846,8,1997,0,1,2866.269
8188,0.08819473,119.6756,8,1997,0,1,2423.512
8246,0.032442388,178.366,6,2004,1,1,4673.916
66,0.033082215,172.5738,6,2004,1,1,4865.6664
7986,0.100164204,113.6518,3,2009,2,2,1593.9252
2234,0.027217468,76.067,2,2007,1,1,1454.773
413,0.033088472,175.4738,8,1997,0,1,521.3214
1330,0.064921764,88.1198,8,1997,0,1,1744.396
5064,0.036353098,75.8696,8,1997,0,1,2386.2272
6981,0.075563757,168.1158,6,2004,1,1,2005.3896
8249,0.119698523,143.047,5,1985,2,3,3578.675
5585,0.088002959,261.391,3,2009,2,2,1840.937
6562,0.07044068,216.885,3,2009,2,2,6275.165
1351,0.0,90.883,0,1998,2,0,89.883
241,0.020603511,42.7112,2,2007,1,1,639.168
5054,0.074847665,78.8986,9,1999,0,1,623.1888
7199,0.025967624,119.9414,8,1997,0,1,1462.0968
6912,0.015087112,250.1408,6,2004,1,1,4005.4528
3673,0.060615254,174.0712,1,1987,2,1,2460.7968
8457,0.130931048,89.9172,6,2004,1,1,1516.6924
7189,0.053480419,42.377,7,2002,1,1,1211.756
